Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate
4054,3,DETACHED HOUSE,27/09/2018,19/10/2018,22/10/2018,Public Housing,103,22,3,25,MORETON BAY,FERNY GROVE
4054,3,DETACHED HOUSE,18/10/2018,2/11/2018,15/11/2018,Public Housing,103,15,13,28,MORETON BAY,FERNY GROVE
4054,3,DETACHED HOUSE,31/01/2019,20/02/2019,1/03/2019,Public Housing,103,20,9,29,MORETON BAY,FERNY GROVE
4054,5,DETACHED HOUSE,11/07/2018,8/08/2018,10/08/2018,Public Housing,103,28,2,30,MORETON BAY,FERNY GROVE
4214,4,DETACHED HOUSE,4/03/2019,12/03/2019,14/03/2019,Public Housing,204,8,2,10,GOLD COAST,BONNEY
4883,3,DETACHED HOUSE,17/07/2018,27/07/2018,7/08/2018,Public Housing,202,10,11,21,TABLELANDS,HILL
4883,3,DETACHED HOUSE,25/01/2019,25/01/2019,7/02/2019,Public Housing,202,0,13,13,TABLELANDS,HILL
4883,4,DETACHED HOUSE,16/10/2018,16/10/2018,17/10/2018,Public Housing,202,0,1,1,TABLELANDS,HILL
4883,3,DETACHED HOUSE,1/08/2018,10/08/2018,22/08/2018,Public Housing,202,9,12,21,TABLELANDS,HILL
4883,1,SENIOR UNIT,14/05/2018,24/05/2018,5/07/2018,Public Housing,202,10,42,52,TABLELANDS,HILL
4883,1,SENIOR UNIT,9/01/2019,21/01/2019,4/02/2019,Public Housing,202,12,14,26,TABLELANDS,HILL
4883,2,ATTACHED HOUSING,29/01/2019,11/02/2019,18/03/2019,Public Housing,202,13,35,48,TABLELANDS,HILL
4883,1,APARTMENT,10/08/2018,6/09/2018,9/10/2018,Public Housing,202,27,33,60,TABLELANDS,HILL
4883,2,CLUSTER HOUSING,15/05/2018,28/05/2018,10/07/2018,Public Housing,202,13,43,56,TABLELANDS,HILL
4883,2,CLUSTER HOUSING,19/07/2018,2/08/2018,14/08/2018,Public Housing,202,14,12,26,TABLELANDS,HILL
4883,2,CLUSTER HOUSING,5/10/2018,17/10/2018,10/12/2018,Public Housing,202,12,54,66,TABLELANDS,HILL
4883,1,SENIOR UNIT,15/04/2019,14/05/2019,15/05/2019,Public Housing,202,29,1,30,TABLELANDS,HILL
4883,1,SENIOR UNIT,21/05/2019,3/06/2019,24/06/2019,Public Housing,202,13,21,34,TABLELANDS,HILL
4883,1,SENIOR UNIT,21/05/2019,18/06/2019,28/06/2019,Public Housing,202,28,10,38,TABLELANDS,HILL
4883,3,DUPLEX,9/10/2018,18/10/2018,16/11/2018,Aboriginal and Torres Strait Islander Housing,202,9,29,38,TABLELANDS,HILL
4883,1,SENIOR UNIT,31/08/2018,15/11/2018,17/01/2019,Public Housing,202,76,63,139,TABLELANDS,HILL
4807,3,DETACHED HOUSE,15/03/2019,2/04/2019,5/04/2019,Public Housing,201,18,3,21,BURDEKIN,BURDEKIN
4807,2,SENIOR UNIT,2/04/2019,16/04/2019,22/05/2019,Public Housing,201,14,36,50,BURDEKIN,BURDEKIN
4807,2,SENIOR UNIT,24/08/2018,29/08/2018,27/09/2018,Public Housing,201,5,29,34,BURDEKIN,BURDEKIN
4807,2,SENIOR UNIT,9/07/2018,13/07/2018,22/08/2018,Public Housing,201,4,40,44,BURDEKIN,BURDEKIN
4807,2,SENIOR UNIT,30/04/2019,9/05/2019,6/06/2019,Public Housing,201,9,28,37,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,30/05/2019,24/06/2019,25/06/2019,Public Housing,201,25,1,26,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,24/01/2019,8/02/2019,28/02/2019,Public Housing,201,15,20,35,BURDEKIN,BURDEKIN
4807,2,DUPLEX,5/10/2018,18/10/2018,30/10/2018,Public Housing,201,13,12,25,BURDEKIN,BURDEKIN
4807,2,DUPLEX,3/09/2018,12/09/2018,8/10/2018,Public Housing,201,9,26,35,BURDEKIN,BURDEKIN
4807,2,DUPLEX,8/04/2019,3/05/2019,8/05/2019,Public Housing,201,25,5,30,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,15/08/2018,27/08/2018,30/08/2018,Public Housing,201,12,3,15,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,29/04/2019,2/05/2019,3/05/2019,Public Housing,201,3,1,4,BURDEKIN,BURDEKIN
4807,1,SENIOR UNIT,26/10/2018,7/11/2018,13/11/2018,Public Housing,201,12,6,18,BURDEKIN,BURDEKIN
4807,2,ATTACHED HOUSING,2/04/2019,26/04/2019,2/05/2019,Public Housing,201,24,6,30,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,3/05/2019,24/05/2019,31/05/2019,Public Housing,201,21,7,28,BURDEKIN,BURDEKIN
4807,2,CLUSTER HOUSING,27/03/2019,10/04/2019,12/04/2019,Public Housing,201,14,2,16,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,9/07/2018,23/07/2018,22/08/2018,Aboriginal and Torres Strait Islander Housing,201,14,30,44,BURDEKIN,BURDEKIN
4807,4,DETACHED HOUSE,21/01/2019,13/02/2019,13/03/2019,Aboriginal and Torres Strait Islander Housing,201,23,28,51,BURDEKIN,BURDEKIN
4105,1,APARTMENT,19/06/2018,19/06/2018,6/07/2018,Public Housing,107,0,17,17,BRISBANE,TOOHEY
4105,1,APARTMENT,14/05/2019,23/05/2019,30/05/2019,Public Housing,107,9,7,16,BRISBANE,TOOHEY
4051,1,APARTMENT,7/03/2019,29/03/2019,29/03/2019,Public Housing,108,22,0,22,BRISBANE,FERNY GROVE
4053,2,APARTMENT,29/06/2018,17/07/2018,6/08/2018,Public Housing,105,18,20,38,BRISBANE,STAFFORD
4053,2,APARTMENT,27/05/2019,7/06/2019,13/06/2019,Public Housing,105,11,6,17,BRISBANE,STAFFORD
4053,2,APARTMENT,11/03/2019,22/03/2019,18/04/2019,Public Housing,105,11,27,38,BRISBANE,STAFFORD
4051,2,APARTMENT,25/02/2019,25/03/2019,25/03/2019,Public Housing,108,28,0,28,BRISBANE,EVERTON
4051,3,DETACHED HOUSE,20/06/2019,20/06/2019,20/06/2019,Public Housing,108,0,0,0,BRISBANE,EVERTON
4051,1,APARTMENT,22/10/2018,22/10/2018,19/11/2018,Public Housing,108,0,28,28,BRISBANE,EVERTON
4051,1,APARTMENT,22/10/2018,22/10/2018,14/11/2018,Public Housing,108,0,23,23,BRISBANE,EVERTON
4051,2,APARTMENT,22/10/2018,22/10/2018,30/11/2018,Public Housing,108,0,39,39,BRISBANE,EVERTON
4051,2,APARTMENT,22/10/2018,22/10/2018,16/11/2018,Public Housing,108,0,25,25,BRISBANE,EVERTON
4051,1,APARTMENT,22/10/2018,22/10/2018,16/11/2018,Public Housing,108,0,25,25,BRISBANE,EVERTON
4051,1,APARTMENT,22/10/2018,22/10/2018,19/11/2018,Public Housing,108,0,28,28,BRISBANE,EVERTON
4051,1,APARTMENT,22/10/2018,22/10/2018,16/11/2018,Public Housing,108,0,25,25,BRISBANE,EVERTON
4051,1,APARTMENT,22/10/2018,22/10/2018,12/11/2018,Public Housing,108,0,21,21,BRISBANE,EVERTON
4032,2,DETACHED HOUSE,16/01/2019,25/02/2019,28/03/2019,Public Housing,105,40,31,71,BRISBANE,STAFFORD
4032,3,DETACHED HOUSE,16/05/2019,29/05/2019,3/06/2019,Public Housing,105,13,5,18,BRISBANE,STAFFORD
4032,1,APARTMENT,21/05/2019,21/05/2019,30/05/2019,Public Housing,105,0,9,9,BRISBANE,STAFFORD
4032,1,APARTMENT,21/05/2019,21/05/2019,3/06/2019,Public Housing,105,0,13,13,BRISBANE,STAFFORD
4032,1,APARTMENT,21/05/2019,21/05/2019,31/05/2019,Public Housing,105,0,10,10,BRISBANE,STAFFORD
4032,1,APARTMENT,13/06/2019,14/06/2019,14/06/2019,Public Housing,105,1,0,1,BRISBANE,STAFFORD
4032,1,APARTMENT,13/06/2019,17/06/2019,17/06/2019,Public Housing,105,4,0,4,BRISBANE,STAFFORD
4032,1,APARTMENT,21/05/2019,21/05/2019,29/05/2019,Public Housing,105,0,8,8,BRISBANE,STAFFORD
4032,1,APARTMENT,21/05/2019,21/05/2019,30/05/2019,Public Housing,105,0,9,9,BRISBANE,STAFFORD
4032,1,APARTMENT,21/05/2019,21/05/2019,30/05/2019,Public Housing,105,0,9,9,BRISBANE,STAFFORD
4012,1,SENIOR UNIT,27/02/2019,18/03/2019,10/04/2019,Public Housing,105,19,23,42,BRISBANE,NUDGEE
4012,1,SENIOR UNIT,16/07/2018,27/07/2018,27/08/2018,Public Housing,105,11,31,42,BRISBANE,NUDGEE
4068,3,DETACHED HOUSE,31/10/2018,26/11/2018,6/12/2018,Public Housing,108,26,10,36,BRISBANE,MAIWAR
4068,3,DETACHED HOUSE,29/05/2019,29/05/2019,29/05/2019,Public Housing,108,0,0,0,BRISBANE,MAIWAR
4031,5,DETACHED HOUSE,18/01/2019,15/02/2019,22/03/2019,Public Housing,105,28,35,63,BRISBANE,STAFFORD
4053,2,DETACHED HOUSE,7/02/2019,18/03/2019,8/04/2019,Public Housing,105,39,21,60,BRISBANE,STAFFORD
4053,4,DETACHED HOUSE,18/04/2019,29/04/2019,30/04/2019,Public Housing,105,11,1,12,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,1/05/2019,1/05/2019,1/05/2019,Public Housing,105,0,0,0,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,30/04/2019,1/05/2019,1/05/2019,Public Housing,105,1,0,1,BRISBANE,STAFFORD
4170,2,DETACHED HOUSE,4/04/2019,10/05/2019,29/05/2019,Public Housing,109,36,19,55,BRISBANE,BULIMBA
4104,2,DETACHED HOUSE,20/12/2018,22/01/2019,4/02/2019,Public Housing,107,33,13,46,BRISBANE,MILLER
4053,3,DETACHED HOUSE,8/02/2019,4/03/2019,6/03/2019,Public Housing,108,24,2,26,BRISBANE,FERNY GROVE
4170,2,DETACHED HOUSE,11/02/2019,25/02/2019,8/03/2019,Public Housing,109,14,11,25,BRISBANE,BULIMBA
4106,3,DETACHED HOUSE,21/11/2018,6/12/2018,12/12/2018,Public Housing,107,15,6,21,BRISBANE,TOOHEY
4051,2,DETACHED HOUSE,29/01/2019,6/03/2019,5/04/2019,Public Housing,108,36,30,66,BRISBANE,FERNY GROVE
4051,3,DETACHED HOUSE,14/11/2018,5/12/2018,6/12/2018,Public Housing,108,21,1,22,BRISBANE,FERNY GROVE
4724,3,DETACHED HOUSE,8/10/2018,29/10/2018,26/04/2019,Public Housing,211,21,179,200,BARCALDINE,GREGORY
4161,3,DETACHED HOUSE,6/08/2018,4/09/2018,24/09/2018,Public Housing,106,29,20,49,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,11/02/2019,5/03/2019,7/03/2019,Public Housing,106,22,2,24,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,25/09/2018,16/01/2019,18/01/2019,Public Housing,106,113,2,115,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,24/09/2018,30/10/2018,9/11/2018,Public Housing,106,36,10,46,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,24/10/2018,12/11/2018,14/11/2018,Public Housing,106,19,2,21,REDLAND,CAPALABA
4161,2,ATTACHED HOUSING,3/06/2019,13/06/2019,14/06/2019,Public Housing,106,10,1,11,REDLAND,CAPALABA
4161,1,SENIOR UNIT,20/12/2018,21/01/2019,25/01/2019,Public Housing,106,32,4,36,REDLAND,CAPALABA
4161,1,SENIOR UNIT,13/05/2019,24/05/2019,27/05/2019,Public Housing,106,11,3,14,REDLAND,CAPALABA
4161,1,SENIOR UNIT,25/06/2018,16/07/2018,17/07/2018,Public Housing,106,21,1,22,REDLAND,CAPALABA
